frontend_api_id,http_method,frontend_path,backend_api_ids,match_status,frontend_source
FEAPI-0324,GET,/oa/salary/{salaryId},BEAPI-0356,exact-candidate,erp-ui/src/api/oa/salary.js:4
FEAPI-0325,GET,/oa/salary/my,BEAPI-0357,exact-candidate,erp-ui/src/api/oa/salary.js:8
FEAPI-0326,GET,/oa/salary/list,BEAPI-0358,exact-candidate,erp-ui/src/api/oa/salary.js:12
FEAPI-0327,POST,/oa/salary/calculate,BEAPI-0360,exact-candidate,erp-ui/src/api/oa/salary.js:16
FEAPI-0328,GET,/oa/salary/attendance-preflight,BEAPI-0359,exact-candidate,erp-ui/src/api/oa/salary.js:20
FEAPI-0329,GET,/oa/salary/config,BEAPI-0354,exact-candidate,erp-ui/src/api/oa/salary.js:24
FEAPI-0330,PUT,/oa/salary/config,BEAPI-0355,exact-candidate,erp-ui/src/api/oa/salary.js:28
FEAPI-0331,POST,/oa/salary/export,BEAPI-0361,exact-candidate,erp-ui/src/api/oa/salary.js:32
FEAPI-0332,GET,/oa/signPackage/list,BEAPI-0370,exact-candidate,erp-ui/src/api/oa/signPackage.js:5
FEAPI-0333,GET,/oa/signPackage/{packageId},BEAPI-0374,exact-candidate,erp-ui/src/api/oa/signPackage.js:14
FEAPI-0334,GET,/oa/signPackage/{packageId}/verify,BEAPI-0375,exact-candidate,erp-ui/src/api/oa/signPackage.js:22
FEAPI-0335,POST,/oa/signPackage,BEAPI-0371,exact-candidate,erp-ui/src/api/oa/signPackage.js:30
FEAPI-0336,PUT,/oa/signPackage/{packageId},BEAPI-0376,exact-candidate,erp-ui/src/api/oa/signPackage.js:38
FEAPI-0337,POST,/oa/signPackage/{packageId}/send,BEAPI-0377,exact-candidate,erp-ui/src/api/oa/signPackage.js:46
FEAPI-0338,GET,/oa/signPackage/{packageId}/company-options,BEAPI-0378,exact-candidate,erp-ui/src/api/oa/signPackage.js:53
FEAPI-0339,POST,/oa/signPackage/{packageId}/finalize,BEAPI-0379,exact-candidate,erp-ui/src/api/oa/signPackage.js:61
FEAPI-0340,GET,/oa/signPackage/company/seals,BEAPI-0380,exact-candidate,erp-ui/src/api/oa/signPackage.js:69
FEAPI-0341,POST,/oa/signPackage/company/seals,BEAPI-0381,exact-candidate,erp-ui/src/api/oa/signPackage.js:77
FEAPI-0342,POST,/oa/signPackage/{packageId}/void,BEAPI-0382,exact-candidate,erp-ui/src/api/oa/signPackage.js:85
FEAPI-0343,GET,/oa/signPackage/template/list,BEAPI-0363,exact-candidate,erp-ui/src/api/oa/signPackage.js:93
FEAPI-0344,GET,/oa/signPackage/template/types,BEAPI-0362,exact-candidate,erp-ui/src/api/oa/signPackage.js:102
FEAPI-0345,POST,/oa/signPackage/template,BEAPI-0364,exact-candidate,erp-ui/src/api/oa/signPackage.js:110
FEAPI-0346,GET,/oa/signPackage/plan/list,BEAPI-0365,exact-candidate,erp-ui/src/api/oa/signPackage.js:118
FEAPI-0347,GET,/oa/signPackage/plan/{planId},BEAPI-0366,exact-candidate,erp-ui/src/api/oa/signPackage.js:127
FEAPI-0348,POST,/oa/signPackage/plan,BEAPI-0367,exact-candidate,erp-ui/src/api/oa/signPackage.js:134
FEAPI-0349,PUT,/oa/signPackage/plan,BEAPI-0368,exact-candidate,erp-ui/src/api/oa/signPackage.js:142
FEAPI-0350,POST,/oa/signPackage/plan/{planId}/publish,BEAPI-0369,exact-candidate,erp-ui/src/api/oa/signPackage.js:150
FEAPI-0351,POST,/oa/signPackage/template/match,BEAPI-0383,exact-candidate,erp-ui/src/api/oa/signPackage.js:157
FEAPI-0352,POST,/oa/signPackage/batch/preview,BEAPI-0372,exact-candidate,erp-ui/src/api/oa/signPackage.js:166
FEAPI-0353,POST,/oa/signPackage/batch/createDrafts,BEAPI-0373,exact-candidate,erp-ui/src/api/oa/signPackage.js:175
FEAPI-0354,GET,/oa/signPackage/mobile/list,BEAPI-0384,exact-candidate,erp-ui/src/api/oa/signPackage.js:183
FEAPI-0355,GET,/oa/signPackage/mobile/{packageId},BEAPI-0385,exact-candidate,erp-ui/src/api/oa/signPackage.js:191
FEAPI-0356,POST,/oa/signPackage/mobile/{packageId}/read/{documentId},BEAPI-0394,exact-candidate,erp-ui/src/api/oa/signPackage.js:198
FEAPI-0357,POST,/oa/signPackage/mobile/{packageId}/sign,BEAPI-0395,exact-candidate,erp-ui/src/api/oa/signPackage.js:206
FEAPI-0358,POST,/oa/signPackage/mobile/{packageId}/final-confirm,BEAPI-0396,exact-candidate,erp-ui/src/api/oa/signPackage.js:214
FEAPI-0359,GET,/oa/signPackage/mobile/{packageId}/documents/{documentId}/file,BEAPI-0386,exact-candidate,erp-ui/src/api/oa/signPackage.js:222
FEAPI-0360,GET,/oa/signPackage/mobile/{packageId}/documents/{documentId}/signed-file,BEAPI-0387,exact-candidate,erp-ui/src/api/oa/signPackage.js:230
FEAPI-0361,GET,/oa/signPackage/mobile/{packageId}/documents/{documentId}/final-file,BEAPI-0388,exact-candidate,erp-ui/src/api/oa/signPackage.js:238
FEAPI-0362,GET,/oa/signPackage/mobile/{packageId}/documents/{documentId}/certificate,BEAPI-0389,exact-candidate,erp-ui/src/api/oa/signPackage.js:246
FEAPI-0363,GET,/oa/signPackage/{packageId}/documents/{documentId}/file,BEAPI-0390,exact-candidate,erp-ui/src/api/oa/signPackage.js:254
FEAPI-0364,GET,/oa/signPackage/{packageId}/documents/{documentId}/signed-file,BEAPI-0391,exact-candidate,erp-ui/src/api/oa/signPackage.js:262
FEAPI-0365,GET,/oa/signPackage/{packageId}/documents/{documentId}/final-file,BEAPI-0392,exact-candidate,erp-ui/src/api/oa/signPackage.js:270
FEAPI-0366,GET,/oa/signPackage/{packageId}/documents/{documentId}/certificate,BEAPI-0393,exact-candidate,erp-ui/src/api/oa/signPackage.js:278
FEAPI-0367,GET,/oa/signTask/list,BEAPI-0397,exact-candidate,erp-ui/src/api/oa/signTask.js:5
FEAPI-0368,GET,/oa/signTask/metrics,BEAPI-0398,exact-candidate,erp-ui/src/api/oa/signTask.js:14
FEAPI-0369,GET,/oa/signTask/{taskId},BEAPI-0399,exact-candidate,erp-ui/src/api/oa/signTask.js:22
FEAPI-0370,POST,/oa/signTask/{taskId}/revalidate,BEAPI-0400,exact-candidate,erp-ui/src/api/oa/signTask.js:30
FEAPI-0371,POST,/oa/signTask/{taskId}/send,BEAPI-0401,exact-candidate,erp-ui/src/api/oa/signTask.js:38
FEAPI-0372,POST,/oa/signTask/{taskId}/retry,BEAPI-0402,exact-candidate,erp-ui/src/api/oa/signTask.js:46
