permission,occurrences,frontend_sources,backend_sources,sql_sources,alignment_status
system:operlog:query,6,erp-ui/src/views/system/operlog/index.vue:159,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysOperlogController.java:58,sql/erp_system_management_expand_20260714.sql:30 | sql/erp_system_management_expand_20260714.sql:41 | sql/erp_system_management_permissions_20260714.sql:11 | sql/erp_system_management_permissions_20260714.sql:63,待核验
system:operlog:remove,4,erp-ui/src/views/system/operlog/index.vue:107 | erp-ui/src/views/system/operlog/index.vue:97,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysOperlogController.java:67 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysOperlogController.java:74,,待核验
system:post:add,2,erp-ui/src/views/system/post/index.vue:52,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysPostController.java:74,,待核验
system:post:edit,4,erp-ui/src/views/hr/completeness/components/HrMasterDataIssues.vue:134 | erp-ui/src/views/system/post/index.vue:115 | erp-ui/src/views/system/post/index.vue:63,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysPostController.java:94,,待核验
system:post:export,3,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:22 | erp-ui/src/views/system/post/index.vue:84,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysPostController.java:52,,待核验
system:post:list,2,erp-ui/src/views/mobile/mobileNavigation.js:35,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysPostController.java:42,,待核验
system:post:query,1,,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysPostController.java:64,,待核验
system:post:remove,3,erp-ui/src/views/system/post/index.vue:122 | erp-ui/src/views/system/post/index.vue:74,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysPostController.java:114,,待核验
system:role:add,3,erp-ui/src/views/system/role/index.vue:71,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:251 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:88,,待核验
system:role:edit,15,erp-ui/src/router/index.js:180 | erp-ui/src/views/system/role/authUser.vue:45 | erp-ui/src/views/system/role/authUser.vue:56 | erp-ui/src/views/system/role/authUser.vue:96 | erp-ui/src/views/system/role/index.vue:140 | erp-ui/src/views/system/role/index.vue:149 | erp-ui/src/views/system/role/index.vue:153 | erp-ui/src/views/system/role/index.vue:155 | erp-ui/src/views/system/role/index.vue:82,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:110 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:132 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:145 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:205 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:216 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:227,,待核验
system:role:export,3,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:21 | erp-ui/src/views/system/role/index.vue:103,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:65,,待核验
system:role:list,4,erp-ui/src/views/mobile/mobileNavigation.js:34,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:179 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:192 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:55,,待核验
system:role:query,3,,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:170 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:239 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:77,,待核验
system:role:remove,3,erp-ui/src/views/system/role/index.vue:147 | erp-ui/src/views/system/role/index.vue:93,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysRoleController.java:159,,待核验
system:salary:add,6,erp-ui/src/views/system/salary/index.vue:252 | erp-ui/src/views/system/salary/index.vue:319 | erp-ui/src/views/system/salary/index.vue:36 | erp-ui/src/views/system/salary/index.vue:85,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:113 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:149,,待核验
system:salary:edit,6,erp-ui/src/views/system/salary/index.vue:126 | erp-ui/src/views/system/salary/index.vue:252 | erp-ui/src/views/system/salary/index.vue:319 | erp-ui/src/views/system/salary/index.vue:63,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:123 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:160,,待核验
system:salary:export,3,erp-ui/src/views/system/salary/index.vue:37,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:68,sql/erp_multi_account_store_audit_remediation_20260620.sql:69,待核验
system:salary:import,10,,,sql/erp_system_management_expand_20260714.sql:31 | sql/erp_system_management_expand_20260714.sql:42 | sql/erp_system_management_permissions_20260714.sql:18 | sql/erp_system_management_permissions_20260714.sql:26 | sql/erp_system_management_permissions_20260714.sql:32 | sql/erp_system_management_permissions_20260714.sql:35 | sql/erp_system_management_permissions_20260714.sql:40 | sql/erp_system_management_permissions_20260714.sql:64 | sql/erp_system_management_permissions_rollback_20260714.sql:14 | sql/erp_system_management_permissions_rollback_20260714.sql:21,待核验
system:salary:list,3,erp-ui/src/views/mobile/mobileNavigation.js:47,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:59,sql/erp_multi_account_store_audit_remediation_20260620.sql:66,待核验
system:salary:query,5,erp-ui/src/views/oa/laborContract/index.vue:422,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:142 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:79 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:86,sql/erp_multi_account_store_audit_remediation_20260620.sql:67,待核验
system:salary:remove,4,erp-ui/src/views/system/salary/index.vue:127 | erp-ui/src/views/system/salary/index.vue:64,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:133 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:170,,待核验
system:salary:role,14,erp-ui/src/views/system/role/index.vue:157 | erp-ui/src/views/system/salary/index.vue:161 | erp-ui/src/views/system/salary/index.vue:197 | erp-ui/src/views/system/salary/index.vue:204 | erp-ui/src/views/system/salary/index.vue:461,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:106 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:179 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:187 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:196 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:206 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:214 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:226 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysSalaryConfigController.java:93,sql/erp_multi_account_store_audit_remediation_20260620.sql:68,待核验
system:user:add,7,erp-ui/src/utils/permission.js:21 | erp-ui/src/views/system/user/index.vue:735 | erp-ui/src/views/system/user/index.vue:743 | erp-ui/src/views/system/user/index.vue:91,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:439 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:464 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:500,,待核验
system:user:edit,16,erp-ui/src/router/index.js:166 | erp-ui/src/utils/permission.js:21 | erp-ui/src/views/mobile/hr/employee/index.vue:27 | erp-ui/src/views/mobile/mobileNavigation.js:38 | erp-ui/src/views/system/user/index.vue:182 | erp-ui/src/views/system/user/index.vue:184 | erp-ui/src/views/system/user/index.vue:188 | erp-ui/src/views/system/user/index.vue:745 | erp-ui/src/views/system/user/index.vue:94,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:422 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:464 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:525 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:627 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:681 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:116 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:611,,待核验
system:user:export,6,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:20 | erp-ui/src/views/system/user/index.vue:103 | erp-ui/src/views/system/user/index.vue:105 | erp-ui/src/views/system/user/index.vue:1419,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:161 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:175,,待核验
system:user:import,3,erp-ui/src/views/system/user/index.vue:100,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:204 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:217,,待核验
system:user:list,9,erp-ui/src/views/mobile/mobileNavigation.js:33 | erp-ui/src/views/oa/laborContract/index.vue:419 | erp-ui/src/views/system/menu/index.vue:262,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:135 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:147 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:696,sql/erp_system_management_expand_20260714.sql:142 | sql/erp_system_management_expand_20260714.sql:144 | sql/erp_system_management_expand_20260714.sql:159,待核验
system:user:pii:edit,14,erp-ui/src/views/system/user/index.vue:735 | erp-ui/src/views/system/user/index.vue:743 | erp-ui/src/views/system/user/index.vue:745,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:422 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:439,sql/erp_system_management_expand_20260714.sql:156 | sql/erp_system_management_expand_20260714.sql:174 | sql/erp_system_management_expand_20260714.sql:192 | sql/erp_system_management_expand_20260714.sql:32 | sql/erp_system_management_expand_20260714.sql:43 | sql/erp_system_management_expand_rollback_20260714.sql:49 | sql/erp_system_management_expand_rollback_20260714.sql:58 | sql/erp_system_management_permissions_20260714.sql:49 | sql/erp_system_management_permissions_20260714.sql:65,待核验
system:user:pii:export,12,erp-ui/src/views/system/user/index.vue:105 | erp-ui/src/views/system/user/index.vue:1419,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:175,sql/erp_system_management_expand_20260714.sql:157 | sql/erp_system_management_expand_20260714.sql:174 | sql/erp_system_management_expand_20260714.sql:192 | sql/erp_system_management_expand_20260714.sql:32 | sql/erp_system_management_expand_20260714.sql:43 | sql/erp_system_management_expand_rollback_20260714.sql:49 | sql/erp_system_management_expand_rollback_20260714.sql:58 | sql/erp_system_management_permissions_20260714.sql:49 | sql/erp_system_management_permissions_20260714.sql:65,待核验
system:user:pii:read,13,erp-ui/src/views/system/user/index.vue:1186 | erp-ui/src/views/system/user/index.vue:737 | erp-ui/src/views/system/user/view.vue:232,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:413,sql/erp_system_management_expand_20260714.sql:155 | sql/erp_system_management_expand_20260714.sql:173 | sql/erp_system_management_expand_20260714.sql:191 | sql/erp_system_management_expand_20260714.sql:32 | sql/erp_system_management_expand_20260714.sql:43 | sql/erp_system_management_expand_rollback_20260714.sql:48 | sql/erp_system_management_expand_rollback_20260714.sql:57 | sql/erp_system_management_permissions_20260714.sql:48 | sql/erp_system_management_permissions_20260714.sql:65,待核验
system:user:query,3,,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:392 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:413 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:643,,待核验
system:user:remove,3,erp-ui/src/views/system/user/index.vue:183 | erp-ui/src/views/system/user/index.vue:97,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:548,,待核验
system:user:resetPwd,9,erp-ui/src/views/system/user/index.vue:184 | erp-ui/src/views/system/user/index.vue:187,erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:564 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:584 | erp-modules/erp-system/src/main/java/com/erp/system/controller/SysUserController.java:596,sql/erp_system_management_expand_20260714.sql:30 | sql/erp_system_management_expand_20260714.sql:41 | sql/erp_system_management_permissions_20260714.sql:11 | sql/erp_system_management_permissions_20260714.sql:63,待核验
tool:gen:code,5,erp-ui/src/views/tool/gen/index.vue:135 | erp-ui/src/views/tool/gen/index.vue:48,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:157 | erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:169 | erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:197,,待核验
tool:gen:edit,6,erp-ui/src/router/index.js:250 | erp-ui/src/views/tool/gen/index.vue:114 | erp-ui/src/views/tool/gen/index.vue:128 | erp-ui/src/views/tool/gen/index.vue:69,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:121 | erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:185,,待核验
tool:gen:import,2,erp-ui/src/views/tool/gen/index.vue:58,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:106,,待核验
tool:gen:list,2,,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:51 | erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:80,,待核验
tool:gen:preview,2,erp-ui/src/views/tool/gen/index.vue:107,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:146,,待核验
tool:gen:query,2,,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:63 | erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:92,,待核验
tool:gen:remove,3,erp-ui/src/views/tool/gen/index.vue:121 | erp-ui/src/views/tool/gen/index.vue:80,erp-modules/erp-gen/src/main/java/com/erp/gen/controller/GenController.java:134,,待核验
