permission,occurrences,frontend_sources,backend_sources,sql_sources,alignment_status
inv:category:edit,3,erp-ui/src/views/inventory/category/index.vue:155 | erp-ui/src/views/inventory/category/index.vue:86,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductCategoryController.java:60,,待核验
inv:category:list,11,erp-ui/src/views/inventory/category/index.vue:29 | erp-ui/src/views/inventory/category/index.vue:45 | erp-ui/src/views/inventory/product/index.vue:18 | erp-ui/src/views/inventory/stock/index.vue:19 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:282 | erp-ui/src/views/mobile/mobileNavigation.js:15 | erp-ui/src/views/mobile/mobileNavigation.js:27,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductCategoryController.java:31 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:81,sql/erp_ux_p0_permission_hardening_20260613.sql:13 | sql/erp_ux_p0_permission_hardening_20260613.sql:174,待核验
inv:category:query,6,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductCategoryController.java:40,sql/erp_ux_p0_permission_hardening_20260613.sql:129 | sql/erp_ux_p0_permission_hardening_20260613.sql:175 | sql/erp_ux_p0_permission_hardening_20260613.sql:27 | sql/erp_ux_p0_permission_hardening_20260613.sql:47 | sql/erp_ux_p0_permission_hardening_20260613.sql:53,待核验
inv:category:remove,2,erp-ui/src/views/inventory/category/index.vue:90,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductCategoryController.java:71,,待核验
inv:category:tree,6,erp-ui/src/views/inventory/product/index.vue:18 | erp-ui/src/views/inventory/stock/index.vue:19,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductCategoryController.java:31,sql/erp_product_category_tree_permission_20260628.sql:16 | sql/erp_product_category_tree_permission_20260628.sql:26 | sql/erp_product_category_tree_permission_20260628.sql:49,待核验
inv:cost:view,15,erp-ui/src/views/inventory/product/index.vue:600 | erp-ui/src/views/inventory/report/index.vue:185 | erp-ui/src/views/mobile/feature/components/MobileLineItemsEditor.vue:295 | erp-ui/src/views/mobile/feature/featureMapper.js:877 | erp-ui/src/views/mobile/feature/mobileFormConfigs.js:67,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:37 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvReportController.java:30 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockCheckController.java:39 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:34 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:32 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTransferCostVisibilityPolicy.java:25,sql/erp_multi_account_store_audit_remediation_20260620.sql:14 | sql/erp_multi_account_store_audit_remediation_20260620.sql:22 | sql/erp_multi_account_store_audit_remediation_20260620.sql:37 | sql/erp_multi_account_store_audit_remediation_20260620.sql:54,待核验
inv:customer:add,2,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:186,sql/erp_inventory_customer_service_card_20260713.sql:122,待核验
inv:customer:edit,2,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:196,sql/erp_inventory_customer_service_card_20260713.sql:123,待核验
inv:customer:export,3,erp-ui/src/views/mobile/feature/mobileExportConfigs.js:9,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:217,sql/erp_inventory_customer_service_card_20260713.sql:123,待核验
inv:customer:list,9,erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:268 | erp-ui/src/views/mobile/mobileNavigation.js:16 | erp-ui/src/views/mobile/mobileNavigation.js:28,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:168 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvMobileController.java:24 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvMobileServiceImpl.java:34,sql/erp_inventory_customer_service_card_20260713.sql:102 | sql/erp_inventory_customer_service_card_20260713.sql:122 | sql/erp_inventory_customer_service_card_20260713.sql:210,待核验
inv:customer:option,5,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:61,sql/erp_inventory_customer_service_card_20260713.sql:130 | sql/erp_inventory_customer_service_card_20260713.sql:134 | sql/erp_inventory_customer_service_card_20260713.sql:214 | sql/erp_inventory_customer_service_card_20260713.sql:244,待核验
inv:customer:query,2,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:178,sql/erp_inventory_customer_service_card_20260713.sql:122,待核验
inv:customer:remove,3,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvCustomerController.java:206,sql/erp_inventory_customer_service_card_20260713.sql:123 | sql/erp_inventory_customer_service_card_20260713.sql:228,待核验
inv:gift:add,6,erp-ui/src/views/inventory/gift/index.vue:258 | erp-ui/src/views/inventory/gift/index.vue:73,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:51,sql/erp_database_drift_repair_20260709.sql:358 | sql/erp_database_drift_repair_20260709.sql:380 | sql/erp_inventory_oe_gift_management_20260706.sql:188,待核验
inv:gift:edit,6,erp-ui/src/views/inventory/gift/index.vue:166 | erp-ui/src/views/inventory/gift/index.vue:258,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:60,sql/erp_database_drift_repair_20260709.sql:359 | sql/erp_database_drift_repair_20260709.sql:380 | sql/erp_inventory_oe_gift_management_20260706.sql:189,待核验
inv:gift:export,6,erp-ui/src/views/inventory/gift/index.vue:76 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:8,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:79,sql/erp_database_drift_repair_20260709.sql:362 | sql/erp_database_drift_repair_20260709.sql:381 | sql/erp_inventory_oe_gift_management_20260706.sql:192,待核验
inv:gift:import,7,erp-ui/src/views/inventory/gift/index.vue:277 | erp-ui/src/views/inventory/gift/index.vue:74 | erp-ui/src/views/inventory/gift/index.vue:75,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:89,sql/erp_database_drift_repair_20260709.sql:361 | sql/erp_database_drift_repair_20260709.sql:381 | sql/erp_inventory_oe_gift_management_20260706.sql:191,待核验
